distro,package,version,swhid
debian,libwebp5,0.4.1-1.2+b2,swh:1:dir:90b7527fb880e8688ee4a9d27b7fb024918ae4bf
debian,libestr0,0.1.10-2,swh:1:dir:cf66129021c35421d25fba47df50301f6335b6a6
debian,libxft2,2.3.2-1+b2,swh:1:dir:c4646dab2dbfbd7e68f8e534c1478469b04d9686
debian,libssl1.0.0,1.0.1t-1+deb8u6,swh:1:dir:df3732ca53d63d4a476c738b4d4c6b3ca599a9c1
debian,libio-socket-ssl-perl,2.044-1,swh:1:dir:aae91111110dba9654bd53314963f1e7a18fee9f
debian,libfdisk1,2.29.2-1+deb9u1,swh:1:dir:726b78b92e3809d74cd1437dd51e373607bdd8ad
ubuntu,libntfs-3g88,1:2017.3.23-2ubuntu0.18.04.2,swh:1:dir:6f61020bbd66f9ace25b6132ca63c16675271a22
ubuntu,python3,3.6.7-1~18.04,swh:1:dir:7cae6c5e77b7425d10484312f89f6e095d93ff80
ubuntu,libhtml-parser-perl,3.72-3build1,swh:1:dir:b6e803189472c6624cf19b8db44c6271fa1cba14
debian,libxinerama1,2:1.1.3-1+b3,swh:1:dir:8d0622ff7e222c932866e154c9868f6c312190bf
ubuntu,libjsoncpp1,1.7.4-3,swh:1:dir:c3cdf0c548f652193a0c3a774d2cff5e45e40088
ubuntu,libgnutls30,3.5.18-1ubuntu1.3,swh:1:dir:0c6462a66103ac5e6e96af0c1a1986b8c1ec576e
debian,libgtk-3-common,3.22.11-1,swh:1:dir:da4b173bc1e67d38acbdc97b98c4ba5d1c907db3
debian,libgdbm3,1.8.3-14,swh:1:dir:112c5d4b43f178cd7d76d7f88ec82d3665c5b23b
debian,ledger,3.1.2~pre1+g3a00e1c+dfsg1-2+b1,swh:1:dir:a4a9a0baed1215d69cb041679b61d9b36263c2b2
debian,libxkbfile1,1:1.0.9-2,swh:1:dir:480b0728aba3f15ee8ad07ae9024bff9fd4c71aa
ubuntu,mawk,1.3.3-17ubuntu3,swh:1:dir:9cd11fd90c9b3adee3411c24db4f57b23c65d42b
debian,mesa-utils,8.3.0-3,swh:1:dir:16f7aa7a8fba0bca5f8d8cbb90f49ffd8701a7b2
ubuntu,systemd,237-3ubuntu10.41,swh:1:dir:6197fd2ec4707e28669f803f492a781785f9d34d
ubuntu,libudev1,237-3ubuntu10.41,swh:1:dir:6197fd2ec4707e28669f803f492a781785f9d34d
ubuntu,libsasl2-modules-db,2.1.27~101-g0780600+dfsg-3ubuntu2.1,swh:1:dir:0889d30dd9ea5a5c69ead28e58dd04cedd87f442
debian,fontforge-common,1:20161005~dfsg-4+deb9u1,swh:1:dir:13ed4b595bf2d54d6fbcf5195778e489cbfa1da1
debian,gfortran-6,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
ubuntu,gcc,4:7.4.0-1ubuntu2.3,swh:1:dir:478d5ce963dc6eb2fbc61072f31c320e2741957a
ubuntu,run-one,1.17-0ubuntu1,swh:1:dir:f408ba697266c9b7f8455d42e30ca1044857477d
ubuntu,libclass-accessor-perl,0.51-1,swh:1:dir:6c6058bef02f6ff1e8b6485975d35f0e56fa1ea0
debian,util-linux-locales,2.29.2-1+deb9u1,swh:1:dir:726b78b92e3809d74cd1437dd51e373607bdd8ad
debian,libdbusmenu-gtk3-4,12.10.2-2,swh:1:dir:8f28e748491014e1bfd762693e58f40d9f4e20a0
ubuntu,libapt-inst2.0,1.6.12ubuntu0.1,swh:1:dir:87427f14ed2a85fbbc52ed06d2d388bca88ea55b
debian,x11proto-dmx-dev,1:2.3.1-2,swh:1:dir:43493376940c69cda60c8a5f5ae60b30616be733
